clone_a,clone_b,batch,n_a,n_b,sinkhorn,energy
E7.5-R1-C2,E7.5-R2-C2,41,182,197,17.941038131713867,1.8296256065368652
E7.5-R1-C2,E7.5-R2-C2,42,182,197,38.24348831176758,2.9569625854492188
E7.5-R1-C2,E7.5-R2-C2,43,182,197,28.155803680419922,2.8568925857543945
E7.5-R1-C2,E7.5-R2-C2,44,182,197,22.438812255859375,2.138474464416504
E7.5-R1-C2,E7.5-R2-C2,45,182,197,56.2378044128418,3.8681135177612305
E7.5-R1-C2,E7.5-R2-C2,46,182,197,45.92516326904297,2.6921753883361816
E7.5-R1-C2,E7.5-R2-C2,47,182,197,42.32261657714844,3.4097275733947754
E7.5-R1-C2,E7.5-R2-C2,48,182,197,34.34859848022461,3.3097705841064453
E7.5-R1-C2,E7.5-R2-C2,49,182,197,48.024085998535156,4.044670104980469
E7.5-R1-C2,E7.5-R2-C1,0,182,757,25.47793197631836,1.473134994506836
E7.5-R1-C2,E7.5-R2-C1,1,182,757,33.0315055847168,1.5533676147460938
E7.5-R1-C2,E7.5-R2-C1,2,182,757,38.01055145263672,1.8549184799194336
E7.5-R1-C2,E7.5-R2-C1,3,182,757,24.93236541748047,1.4666433334350586
E7.5-R1-C2,E7.5-R2-C1,4,182,757,31.249427795410156,1.4237675666809082
E7.5-R1-C2,E7.5-R2-C1,5,182,757,25.494808197021484,1.5461177825927734
E7.5-R1-C2,E7.5-R2-C1,6,182,757,22.061344146728516,1.4218807220458984
E7.5-R1-C2,E7.5-R2-C1,7,182,757,22.10479736328125,1.2221317291259766
E7.5-R1-C2,E7.5-R2-C1,8,182,757,28.56426429748535,2.025650978088379
E7.5-R1-C2,E7.5-R2-C1,9,182,757,25.955638885498047,1.1185331344604492
E7.5-R1-C2,E7.5-R2-C1,10,182,757,27.80625343322754,1.5834341049194336
E7.5-R1-C2,E7.5-R2-C1,11,182,757,48.680484771728516,1.5659656524658203
E7.5-R1-C2,E7.5-R2-C1,12,182,757,32.23046875,1.4930696487426758
