bucket,dataset_a,dataset_b,embryo_a,embryo_b,batch,n_a,n_b,time_a,time_b,sinkhorn
early,qiu2022,devmap,E6.5,E8.0-R1,16,4444,4498,E6.5,8.0,86.05765533447266
early,qiu2022,devmap,E6.5,E8.0-R1,17,4444,4498,E6.5,8.0,84.10780334472656
early,qiu2022,devmap,E6.5,E8.0-R1,18,4444,4498,E6.5,8.0,75.82137298583984
early,qiu2022,devmap,E6.5,E8.0-R1,19,4444,4498,E6.5,8.0,94.06820678710938
early,qiu2022,devmap,E6.5,E8.0-R1,20,4444,4498,E6.5,8.0,96.1060562133789
early,qiu2022,devmap,E6.5,E8.0-R1,21,4444,4498,E6.5,8.0,75.23382568359375
early,qiu2022,devmap,E6.5,E8.0-R1,22,4444,4498,E6.5,8.0,89.47697448730469
early,qiu2022,devmap,E6.5,E8.0-R1,23,4444,4498,E6.5,8.0,83.89279174804688
early,qiu2022,devmap,E6.5,E8.0-R1,24,4444,4498,E6.5,8.0,75.90299987792969
early,qiu2022,devmap,E6.5,E8.0-R1,25,4444,4498,E6.5,8.0,83.61967468261719
early,qiu2022,devmap,E6.5,E8.0-R1,26,4444,4498,E6.5,8.0,108.48529052734375
early,qiu2022,devmap,E6.5,E8.0-R1,27,4444,4498,E6.5,8.0,108.88602447509766
early,qiu2022,devmap,E6.5,E8.0-R1,28,4444,4498,E6.5,8.0,102.61791229248047
early,qiu2022,devmap,E6.5,E8.0-R1,29,4444,4498,E6.5,8.0,90.44718170166016
early,qiu2022,devmap,E6.5,E8.0-R1,30,4444,4498,E6.5,8.0,84.4836196899414
early,qiu2022,devmap,E6.5,E8.0-R1,31,4444,4498,E6.5,8.0,96.49327087402344
early,qiu2022,devmap,E6.5,E8.0-R1,32,4444,4498,E6.5,8.0,86.77110290527344
early,qiu2022,devmap,E6.5,E8.0-R1,33,4444,4498,E6.5,8.0,89.43434143066406
early,qiu2022,devmap,E6.5,E8.0-R1,34,4444,4498,E6.5,8.0,85.84648132324219
early,qiu2022,devmap,E6.5,E8.0-R1,35,4444,4498,E6.5,8.0,81.76966857910156
early,qiu2022,devmap,E6.5,E8.0-R1,36,4444,4498,E6.5,8.0,77.68074035644531
early,qiu2022,devmap,E6.5,E8.0-R1,37,4444,4498,E6.5,8.0,73.33956909179688
early,qiu2022,devmap,E6.5,E8.0-R1,38,4444,4498,E6.5,8.0,100.69383239746094
early,qiu2022,devmap,E6.5,E8.0-R1,39,4444,4498,E6.5,8.0,101.93473815917969
early,qiu2022,devmap,E6.5,E8.0-R1,40,4444,4498,E6.5,8.0,64.2957534790039
early,qiu2022,devmap,E6.5,E8.0-R1,41,4444,4498,E6.5,8.0,86.39688110351562
early,qiu2022,devmap,E6.5,E8.0-R1,42,4444,4498,E6.5,8.0,72.31268310546875
early,qiu2022,devmap,E6.5,E8.0-R1,43,4444,4498,E6.5,8.0,70.37134552001953
early,qiu2022,devmap,E6.5,E8.0-R1,44,4444,4498,E6.5,8.0,73.68038940429688
early,qiu2022,devmap,E6.5,E8.0-R1,45,4444,4498,E6.5,8.0,107.05865478515625
early,qiu2022,devmap,E6.5,E8.0-R1,46,4444,4498,E6.5,8.0,86.7703857421875
early,qiu2022,devmap,E6.5,E8.0-R1,47,4444,4498,E6.5,8.0,97.76407623291016
early,qiu2022,devmap,E6.5,E8.0-R1,48,4444,4498,E6.5,8.0,71.38862609863281
early,qiu2022,devmap,E6.5,E8.0-R1,49,4444,4498,E6.5,8.0,94.10127258300781
early,qiu2022,devmap,E6.5,E8.0-R2,0,4444,10681,E6.5,8.0,79.1680908203125
early,qiu2022,devmap,E6.5,E8.0-R2,1,4444,10681,E6.5,8.0,91.3953857421875
early,qiu2022,devmap,E6.5,E8.0-R2,2,4444,10681,E6.5,8.0,105.62751770019531
early,qiu2022,devmap,E6.5,E8.0-R2,3,4444,10681,E6.5,8.0,88.85099792480469
early,qiu2022,devmap,E6.5,E8.0-R2,4,4444,10681,E6.5,8.0,91.02479553222656
early,qiu2022,devmap,E6.5,E8.0-R2,5,4444,10681,E6.5,8.0,80.57888793945312
early,qiu2022,devmap,E6.5,E8.0-R2,6,4444,10681,E6.5,8.0,94.96517181396484
early,qiu2022,devmap,E6.5,E8.0-R2,7,4444,10681,E6.5,8.0,86.24815368652344
early,qiu2022,devmap,E6.5,E8.0-R2,8,4444,10681,E6.5,8.0,93.74073791503906
early,qiu2022,devmap,E6.5,E8.0-R2,9,4444,10681,E6.5,8.0,98.87786102294922
early,qiu2022,devmap,E6.5,E8.0-R2,10,4444,10681,E6.5,8.0,74.73519897460938
early,qiu2022,devmap,E6.5,E8.0-R2,11,4444,10681,E6.5,8.0,99.11603546142578
early,qiu2022,devmap,E6.5,E8.0-R2,12,4444,10681,E6.5,8.0,92.51930236816406
early,qiu2022,devmap,E6.5,E8.0-R2,13,4444,10681,E6.5,8.0,90.03803253173828
early,qiu2022,devmap,E6.5,E8.0-R2,14,4444,10681,E6.5,8.0,94.01974487304688
early,qiu2022,devmap,E6.5,E8.0-R2,15,4444,10681,E6.5,8.0,102.63568878173828
early,qiu2022,devmap,E6.5,E8.0-R2,16,4444,10681,E6.5,8.0,105.0257568359375
early,qiu2022,devmap,E6.5,E8.0-R2,17,4444,10681,E6.5,8.0,94.96379089355469
early,qiu2022,devmap,E6.5,E8.0-R2,18,4444,10681,E6.5,8.0,87.27880859375
early,qiu2022,devmap,E6.5,E8.0-R2,19,4444,10681,E6.5,8.0,86.79635620117188
early,qiu2022,devmap,E6.5,E8.0-R2,20,4444,10681,E6.5,8.0,77.78790283203125
early,qiu2022,devmap,E6.5,E8.0-R2,21,4444,10681,E6.5,8.0,85.77603149414062
early,qiu2022,devmap,E6.5,E8.0-R2,22,4444,10681,E6.5,8.0,85.41725158691406
early,qiu2022,devmap,E6.5,E8.0-R2,23,4444,10681,E6.5,8.0,88.49988555908203
early,qiu2022,devmap,E6.5,E8.0-R2,24,4444,10681,E6.5,8.0,97.04701232910156
early,qiu2022,devmap,E6.5,E8.0-R2,25,4444,10681,E6.5,8.0,80.07957458496094
early,qiu2022,devmap,E6.5,E8.0-R2,26,4444,10681,E6.5,8.0,121.71121978759766
early,qiu2022,devmap,E6.5,E8.0-R2,27,4444,10681,E6.5,8.0,95.59060668945312
early,qiu2022,devmap,E6.5,E8.0-R2,28,4444,10681,E6.5,8.0,89.76528930664062
early,qiu2022,devmap,E6.5,E8.0-R2,29,4444,10681,E6.5,8.0,87.48590087890625
early,qiu2022,devmap,E6.5,E8.0-R2,30,4444,10681,E6.5,8.0,91.26495361328125
early,qiu2022,devmap,E6.5,E8.0-R2,31,4444,10681,E6.5,8.0,107.20541381835938
early,qiu2022,devmap,E6.5,E8.0-R2,32,4444,10681,E6.5,8.0,82.31930541992188
early,qiu2022,devmap,E6.5,E8.0-R2,33,4444,10681,E6.5,8.0,94.61555480957031
early,qiu2022,devmap,E6.5,E8.0-R2,34,4444,10681,E6.5,8.0,86.96746063232422
early,qiu2022,devmap,E6.5,E8.0-R2,35,4444,10681,E6.5,8.0,91.09406280517578
early,qiu2022,devmap,E6.5,E8.0-R2,36,4444,10681,E6.5,8.0,95.88671112060547
early,qiu2022,devmap,E6.5,E8.0-R2,37,4444,10681,E6.5,8.0,94.638427734375
early,qiu2022,devmap,E6.5,E8.0-R2,38,4444,10681,E6.5,8.0,76.91285705566406
early,qiu2022,devmap,E6.5,E8.0-R2,39,4444,10681,E6.5,8.0,92.9207534790039
early,qiu2022,devmap,E6.5,E8.0-R2,40,4444,10681,E6.5,8.0,96.81271362304688
early,qiu2022,devmap,E6.5,E8.0-R2,41,4444,10681,E6.5,8.0,90.04261779785156
early,qiu2022,devmap,E6.5,E8.0-R2,42,4444,10681,E6.5,8.0,106.76228332519531
early,qiu2022,devmap,E6.5,E8.0-R2,43,4444,10681,E6.5,8.0,82.62255859375
early,qiu2022,devmap,E6.5,E8.0-R2,44,4444,10681,E6.5,8.0,83.22299194335938
early,qiu2022,devmap,E6.5,E8.0-R2,45,4444,10681,E6.5,8.0,84.50587463378906
early,qiu2022,devmap,E6.5,E8.0-R2,46,4444,10681,E6.5,8.0,86.0828857421875
early,qiu2022,devmap,E6.5,E8.0-R2,47,4444,10681,E6.5,8.0,89.29473876953125
early,qiu2022,devmap,E6.5,E8.0-R2,48,4444,10681,E6.5,8.0,112.40531921386719
early,qiu2022,devmap,E6.5,E8.0-R2,49,4444,10681,E6.5,8.0,94.48308563232422
early,qiu2022,devmap,E6.5,E8.0-R3,0,4444,6763,E6.5,8.0,64.81021118164062
early,qiu2022,devmap,E6.5,E8.0-R3,1,4444,6763,E6.5,8.0,89.48651885986328
early,qiu2022,devmap,E6.5,E8.0-R3,2,4444,6763,E6.5,8.0,94.05537414550781
early,qiu2022,devmap,E6.5,E8.0-R3,3,4444,6763,E6.5,8.0,79.61326599121094
early,qiu2022,devmap,E6.5,E8.0-R3,4,4444,6763,E6.5,8.0,121.64119720458984
early,qiu2022,devmap,E6.5,E8.0-R3,5,4444,6763,E6.5,8.0,87.6022720336914
early,qiu2022,devmap,E6.5,E8.0-R3,6,4444,6763,E6.5,8.0,109.24537658691406
early,qiu2022,devmap,E6.5,E8.0-R3,7,4444,6763,E6.5,8.0,102.68141174316406
early,qiu2022,devmap,E6.5,E8.0-R3,8,4444,6763,E6.5,8.0,78.01301574707031
early,qiu2022,devmap,E6.5,E8.0-R3,9,4444,6763,E6.5,8.0,98.69841003417969
early,qiu2022,devmap,E6.5,E8.0-R3,10,4444,6763,E6.5,8.0,108.04888916015625
early,qiu2022,devmap,E6.5,E8.0-R3,11,4444,6763,E6.5,8.0,72.75762176513672
early,qiu2022,devmap,E6.5,E8.0-R3,12,4444,6763,E6.5,8.0,84.06416320800781
early,qiu2022,devmap,E6.5,E8.0-R3,13,4444,6763,E6.5,8.0,83.28224182128906
early,qiu2022,devmap,E6.5,E8.0-R3,14,4444,6763,E6.5,8.0,83.33779907226562
early,qiu2022,devmap,E6.5,E8.0-R3,15,4444,6763,E6.5,8.0,88.83116912841797
early,qiu2022,devmap,E6.5,E8.0-R3,16,4444,6763,E6.5,8.0,78.16305541992188
early,qiu2022,devmap,E6.5,E8.0-R3,17,4444,6763,E6.5,8.0,95.22117614746094
early,qiu2022,devmap,E6.5,E8.0-R3,18,4444,6763,E6.5,8.0,83.3896255493164
